Business Name,Customer Last Name,Customer First Name,Civic Nbr,Street,Location Latitude,Location Longitude,RFID,Capacity,Capacity Units,Color,Container Type,Manufacturer,Route 1,SeqNbr 1,Route 2,SeqNbr 2,Route 3,SeqNbr 3,Route 4,SeqNbr 4,Route 5,SeqNbr 5,Route 6,SeqNbr 6,Route 7,SeqNbr 7,Route 8,SeqNbr 8,Route 9,SeqNbr 9,Route 10,SeqNbr 10,Route 11,SeqNbr 11,Route 12,SeqNbr 12,Route 13,SeqNbr 13,Route 14,SeqNbr 14
512 Brickhaven,512, Brickhaven,512,Brickhaven Dr.,35.79437193,-78.69660645,0000FRR22478062910000003,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,43,,,,,,,,,,,,,,,,,,,,,,,,,,
512 Brickhaven,512, Brickhaven,512,Brickhaven Dr.,35.79437193,-78.69660645,0000FRR22478062910000003,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,46,,,,,,,,,,,,,,,,,,,,,,,,,,
516 Brickhaven,516, Brickhaven,516,Brickhaven Dr.,35.79304761,-78.69658813,0000FRR22478062910000004,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,41,,,,,,,,,,,,,,,,,,,,,,,,,,
516 Brickhaven,516, Brickhaven,516,Brickhaven Dr.,35.79304761,-78.69658813,0000FRR22428171490000019,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,44,,,,,,,,,,,,,,,,,,,,,,,,,,
520 Brickhaven,520, Brickhaven,520,Brickhaven Dr.,35.7922925,-78.69659484,0000FRR22478062910000007,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,42,,,,,,,,,,,,,,,,,,,,,,,,,,
520 Brickhaven,520, Brickhaven,520,Brickhaven Dr.,35.7922925,-78.69659484,0000FRR2242817149000001a,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative Services I,Administrative,Services I,2721,Sullivan Dr.,35.787865,-78.683585,0000FRR224720827e0000005,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative Services I,Administrative,Services I,2721,Sullivan Dr.,35.787865,-78.683585,0000FRR22478062910000009,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative Services I,Administrative,Services I,2721,Sullivan Dr.,35.787865,-78.683585,FRR298e719b1c0000002,35,Gallon,GREEN,ROLLCART,TOTER,RFriComp1,21,RMonCom1,6,RWedCom1,21,,,,,,,,,,,,,,,,,,,,,,
Administrative Services II ,Administrative,Services II ,2711,Sullivan Dr.,35.78709902,-78.68229594,0000FRR224720827e0000006,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RSatWaste2,2,RThrWaste1,3,RMonWaste2,4,,,,,,,,,,,,,,,,,,,,,,
Administrative Services II ,Administrative,Services II ,2711,Sullivan Dr.,35.78709902,-78.68229594,FRR2736c19bf00000002,35,Gallon,GREEN,ROLLCART,TOTER,RFriComp1,20,RMonCom1,5,RWedCom1,20,,,,,,,,,,,,,,,,,,,,,,
Administrative Services II ,Administrative,Services II ,2711,Sullivan Dr.,35.78709902,-78.68229594,0000FRR2247806291000000b,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,53,RMonMR1,16,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Residence Hall,Alexander,Residence Hall,2700,Cates Ave.,35.78440473,-78.67199347,0000FRR22670197220000004,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RTueSpot1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Residence Hall,Alexander,Residence Hall,2700,Cates Ave.,35.78440473,-78.67199347,0000FRR224720827e0000007,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonWaste1,12,RTueWaste1,12,RThrWaste1,11,RFriWaste2,56,RSatWaste2,110,MIFriW1,3,MIThrW2,4,MIFriW2,6,MIMonW1,6,MIMonW2,6,MISatW1,6,MISatW2,6,MISunW1,6,MISunW2,6
Alexander Residence Hall,Alexander,Residence Hall,2700,Cates Ave.,35.78440473,-78.67199347,0000FRR22670197220000004,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonMR1,43,RWedMR1,9,RFriMR1,22,MIFriMR2,4,MIMonMR2,6,MISatMR1,6,MISatMR2,6,MISunMR1,6,MISunMR2,6,MIThrMR1,6,MIThrMR2,6,MITueMR1,6,MITueMR2,6,MIWedMR2,6
Alexander Residence Hall,Alexander,Residence Hall,2700,Cates Ave.,35.78440473,-78.67199347,0000FRR224720827e0000007,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,57,RTueSpot1,38,RThrSpot1,6,RFriSpot1,33,RSatSpot1,14,,,,,,,,,,,,,,,,,,
Alexander Residence Hall,Alexander,Residence Hall,2700,Cates Ave.,35.78440473,-78.67199347,0000FRR224720827e0000007,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,58,RTueSpot1,47,RFriSpot1,64,RSatSpot1,88,RThrSpot1,57,,,,,,,,,,,,,,,,,,
Alexander Residence Hall,Alexander,Residence Hall,2700,Cates Ave.,35.78440473,-78.67199347,0000FRR22670197220000004,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,71,RFriSpot1,34,RWedSpot1,61,,,,,,,,,,,,,,,,,,,,,,
Alexander Residence Hall,Alexander,Residence Hall,2700,Cates Ave.,35.78440473,-78.67199347,0000FRR22670197220000004,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,79,RMonSpot1,80,RFriSpot1,65,RWedSpot1,71,,,,,,,,,,,,,,,,,,,,
Arboretum Horticulture Headhouse,Arboretum, Horticulture Headhouse,3247,Beryl Rd.,35.7933503,-78.699065,0000FRR2247807d35000012f,4,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonCom1,11,RWedCom1,5,,,,,,,,,,,,,,,,,,,,,,,,
Arboretum Horticulture Headhouse,Arboretum, Horticulture Headhouse,3247,Beryl Rd.,35.7933503,-78.699065,0000FRR224720827e0000009,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,62,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboretum Horticulture Headhouse,Arboretum, Horticulture Headhouse,3247,Beryl Rd.,35.7933503,-78.699065,0000FRR2247807d35000012f,4,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,64,RWedSpot1,54,,,,,,,,,,,,,,,,,,,,,,,,
Arboretum Horticulture Headhouse,Arboretum, Horticulture Headhouse,3247,Beryl Rd.,35.7933503,-78.699065,0000FRR2247807d35000012f,4,Yard,GREEN,DUMPSTER,WASTEQUIP,RMonSpot1,66,RWedSpot1,49,,,,,,,,,,,,,,,,,,,,,,,,
